Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,0.02,
Afghanistan,AFG,2021-03-16,0.14,
Afghanistan,AFG,2021-04-07,0.31,
Afghanistan,AFG,2021-04-22,0.62,
Afghanistan,AFG,2021-05-11,1.15,
Afghanistan,AFG,2021-05-20,1.21,
Afghanistan,AFG,2021-05-24,1.22,
Afghanistan,AFG,2021-05-26,1.23,
Afghanistan,AFG,2021-05-27,1.23,
Afghanistan,AFG,2021-05-30,1.23,
Afghanistan,AFG,2021-06-02,1.24,
Afghanistan,AFG,2021-06-03,1.24,
Afghanistan,AFG,2021-06-08,1.24,
Afghanistan,AFG,2021-06-14,1.25,
Afghanistan,AFG,2021-06-22,1.5,
Afghanistan,AFG,2021-06-27,1.67,
Afghanistan,AFG,2021-06-30,1.8,
Afghanistan,AFG,2021-07-05,1.87,
Afghanistan,AFG,2021-07-07,1.89,
Afghanistan,AFG,2021-07-11,1.91,
Afghanistan,AFG,2021-07-29,1.96,
Africa,,2021-01-09,0,
Africa,,2021-01-13,0,
Africa,,2021-01-15,0,
Africa,,2021-01-16,0,
Africa,,2021-01-19,0,
Africa,,2021-01-20,0,
Africa,,2021-01-22,0,
Africa,,2021-01-23,0,
Africa,,2021-01-24,0,
Africa,,2021-01-25,0,
Africa,,2021-01-26,0,
Africa,,2021-01-27,0,
Africa,,2021-01-28,0,
Africa,,2021-01-29,0,
Africa,,2021-01-30,0,
Africa,,2021-01-31,0,
Africa,,2021-02-01,0,
Africa,,2021-02-02,0,
Africa,,2021-02-03,0,
Africa,,2021-02-04,0,
Africa,,2021-02-05,0,
Africa,,2021-02-06,0,
Africa,,2021-02-08,0,
Africa,,2021-02-09,0,
Africa,,2021-02-10,0,
Africa,,2021-02-11,0,
Africa,,2021-02-12,0,
Africa,,2021-02-13,0,
Africa,,2021-02-15,0,
Africa,,2021-02-16,0,
Africa,,2021-02-17,0,
Africa,,2021-02-18,0,
Africa,,2021-02-19,0.19,
Africa,,2021-02-20,0.19,
Africa,,2021-02-21,0.19,
Africa,,2021-02-22,0.2,
Africa,,2021-02-23,0.21,
Africa,,2021-02-24,0.23,
Africa,,2021-02-25,0.25,
Africa,,2021-02-26,0.27,
Africa,,2021-02-27,0.27,
Africa,,2021-02-28,0.28,
Africa,,2021-03-01,0.29,
Africa,,2021-03-02,0.29,
Africa,,2021-03-03,0.3,
Africa,,2021-03-04,0.31,
Africa,,2021-03-05,0.32,
Africa,,2021-03-06,0.33,
Africa,,2021-03-07,0.33,
Africa,,2021-03-08,0.35,
Africa,,2021-03-09,0.36,
Africa,,2021-03-10,0.37,
Africa,,2021-03-11,0.38,
Africa,,2021-03-12,0.38,
Africa,,2021-03-13,0.39,
Africa,,2021-03-14,0.4,
Africa,,2021-03-15,0.4,
Africa,,2021-03-16,0.41,
Africa,,2021-03-17,0.41,
Africa,,2021-03-18,0.42,
Africa,,2021-03-19,0.43,
Africa,,2021-03-20,0.43,
Africa,,2021-03-21,0.43,
Africa,,2021-03-22,0.43,
Africa,,2021-03-23,0.44,
Africa,,2021-03-24,0.49,
Africa,,2021-03-25,0.49,
Africa,,2021-03-26,0.5,
Africa,,2021-03-27,0.52,
Africa,,2021-03-28,0.54,
Africa,,2021-03-29,0.54,
Africa,,2021-03-30,0.55,
Africa,,2021-03-31,0.58,
Africa,,2021-04-01,0.59,
Africa,,2021-04-02,0.6,
Africa,,2021-04-03,0.6,
Africa,,2021-04-04,0.61,
Africa,,2021-04-05,0.61,
Africa,,2021-04-06,0.64,
Africa,,2021-04-07,0.66,
Africa,,2021-04-08,0.71,
Africa,,2021-04-09,0.72,
Africa,,2021-04-10,0.73,
Africa,,2021-04-11,0.74,
Africa,,2021-04-12,0.75,
Africa,,2021-04-13,0.76,
Africa,,2021-04-14,0.78,
Africa,,2021-04-15,0.79,
Africa,,2021-04-16,0.8,
Africa,,2021-04-17,0.83,
Africa,,2021-04-18,0.87,
Africa,,2021-04-19,0.88,
Africa,,2021-04-20,0.89,
Africa,,2021-04-21,0.91,
Africa,,2021-04-22,0.91,
Africa,,2021-04-23,0.93,
Africa,,2021-04-24,0.93,
Africa,,2021-04-25,0.93,
Africa,,2021-04-26,0.94,
Africa,,2021-04-27,0.95,
Africa,,2021-04-28,1.03,
Africa,,2021-04-29,1.03,
Africa,,2021-04-30,1.04,
Africa,,2021-05-01,1.05,
Africa,,2021-05-02,1.06,
Africa,,2021-05-03,1.07,
Africa,,2021-05-04,1.08,
Africa,,2021-05-05,1.1,
Africa,,2021-05-06,1.11,
Africa,,2021-05-07,1.15,
Africa,,2021-05-08,1.16,
Africa,,2021-05-09,1.2,
Africa,,2021-05-10,1.23,
Africa,,2021-05-11,1.26,
Africa,,2021-05-12,1.33,
Africa,,2021-05-13,1.34,
Africa,,2021-05-14,1.35,
Africa,,2021-05-15,1.37,
Africa,,2021-05-16,1.38,
Africa,,2021-05-17,1.41,
Africa,,2021-05-18,1.46,
Africa,,2021-05-19,1.49,
Africa,,2021-05-20,1.52,
Africa,,2021-05-21,1.55,
Africa,,2021-05-22,1.61,
Africa,,2021-05-23,1.62,
Africa,,2021-05-24,1.66,
Africa,,2021-05-25,1.7,
Africa,,2021-05-26,1.72,
Africa,,2021-05-27,1.73,
Africa,,2021-05-28,1.74,
Africa,,2021-05-29,1.78,
Africa,,2021-05-30,1.8,
Africa,,2021-05-31,1.87,
Africa,,2021-06-01,1.91,
Africa,,2021-06-02,1.93,
Africa,,2021-06-03,1.96,
Africa,,2021-06-04,1.97,
Africa,,2021-06-05,1.98,
Africa,,2021-06-06,1.98,
Africa,,2021-06-07,2.01,
Africa,,2021-06-08,2.05,
Africa,,2021-06-09,2.09,
Africa,,2021-06-10,2.11,
Africa,,2021-06-11,2.12,
Africa,,2021-06-12,2.14,
Africa,,2021-06-13,2.14,
